0	0, 2, 1, 0	0.7148438, 0.2844238, 0.0001938343	0.01218414, 0.9008789, 0.4335938	-0.05541992, 1.501953, 0.08520508	0.7504883, 0.6791992
1	0, 2, 1, 0	0.5444336, 0.449707, 0.005748749	-7.748604E-07, 0.9111328, 0.4116211	-8.094311E-05, 1.489258, 0.1035767	0.6875, 0.6933594
2	0, 2, 3, 0	0.8100586, 0.1894531, 0	0, 0.7143555, 0.6992188	-8.094311E-05, 1.522461, 0.04776001	0.6875, 0.6474609
3	0, 2, 3, 0	0.8100586, 0.1894531, 0	-0.147583, 0.7177734, 0.6801758	-0.05404663, 1.530273, 0.0506897	0.7490234, 0.6396484
4	0, 2, 1, 0	0.5537109, 0.4399414, 0.006134033	0.06155396, 0.6025391, 0.7954102	-0.0279541, 1.478516, 0.1365967	0.7109375, 0.7163086
5	0, 4, 3, 0	0.8735352, 0.1260986, 0	0, 0.5761719, 0.8168945	-8.100271E-05, 1.564453, 0.01785278	0.6875, 0.5952148
6	0, 4, 3, 0	0.8735352, 0.1260986, 0	-0.1815186, 0.53125, 0.8271484	-0.02519226, 1.572266, 0.01171875	0.730957, 0.5869141
7	0, 5, 3, 0	0.5151367, 0.4846191, 0	-0.7329102, 0.2585449, 0.628418	-0.0486145, 1.609375, -0.008659363	0.5493164, 0.3278809
8	5, 6, 3, 0	0.6484375, 0.3513184, 0	-0.8984375, 0.1259766, 0.4199219	-0.03768921, 1.651367, 0.001904488	0.5493164, 0.3786621
9	7, 6, 0, 0	0.6513672, 0.3483887, 0	-0.8935547, 0.2543945, -0.3686523	-0.04943848, 1.652344, -0.04345703	0.5864258, 0.378418
10	0, 5, 3, 0	0.5151367, 0.4846191, 0	-0.815918, 0.4899902, -0.3066406	-0.05566406, 1.620117, -0.04522705	0.5864258, 0.329834
11	6, 5, 3, 0	0.5302734, 0.4692383, 0	0, 0.2734375, -0.9614258	-8.094311E-05, 1.650391, -0.06799316	0.6323242, 0.3933105
12	5, 0, 3, 0	0.5761719, 0.4233398, 0	-0.2995605, 0.3894043, -0.8706055	-0.02700806, 1.613281, -0.0682373	0.6176758, 0.3498535
13	5, 0, 3, 0	0.5883789, 0.4111328, 0	0, 0.2626953, -0.9648438	-8.094311E-05, 1.614258, -0.0748291	0.644043, 0.3579102
14	3, 5, 0, 0	0.401123, 0.307373, 0.2910156	-0.451416, 0.5966797, 0.6630859	-0.06445313, 1.592773, -0.01045227	0.5512695, 0.3041992
15	0, 5, 4, 0	0.5551758, 0.2406006, 0.2041016	-0.4733887, 0.09625244, 0.875	-0.01392365, 1.588867, 0.01301575	0.4929199, 0.3256836
16	0, 2, 1, 0	0.7319336, 0.2675781, 0	-0.4667969, 0.8310547, 0.3012695	-0.08837891, 1.50293, 0.07971191	0.7758789, 0.6860352
17	0, 2, 3, 0	0.8041992, 0.1956787, 0	-0.496582, 0.6171875, 0.609375	-0.08392334, 1.522461, 0.04034424	0.7895508, 0.6508789
18	0, 2, 8, 0	0.7597656, 0.1896973, 0.05007935	-0.9404297, 0.2265625, 0.2519531	-0.1067505, 1.495117, 0.03256226	0.8242188, 0.6855469
19	0, 2, 1, 0	0.7275391, 0.2651367, 0.006713867	-0.9633789, 0.2543945, 0.08190918	-0.1124268, 1.472656, 0.07183838	0.793457, 0.7202148
20	0, 2, 1, 0	0.7739258, 0.1883545, 0.03753662	-0.9946289, -0.09985352, -0.007728577	-0.1099854, 1.459961, 0.02511597	0.8408203, 0.7270508
21	0, 8, 3, 0	1, 0, 0	-0.9506836, -0.2763672, -0.1378174	-0.1124878, 1.457031, -0.03585815	0.8808594, 0.7226563
22	0, 1, 2, 0	0.7197266, 0.2749023, 0.005084991	-0.9326172, -0.3481445, -0.09039307	-0.08990479, 1.399414, 0.0005555153	0.8637695, 0.7963867
23	0, 2, 1, 0	0.5332031, 0.4399414, 0.02674866	-0.7172852, -0.1749268, 0.6738281	-0.09899902, 1.444336, 0.1251221	0.7626953, 0.7446289
24	0, 2, 1, 0	0.6796875, 0.2678223, 0.05224609	-0.9785156, -0.1227417, 0.1645508	-0.1134033, 1.450195, 0.09051514	0.7880859, 0.7509766
25	2, 0, 1, 0	0.4318848, 0.4135742, 0.1542969	-0.6772461, -0.4960938, 0.5424805	-0.09570313, 1.430664, 0.1195068	0.7661133, 0.7617188
26	0, 2, 1, 0	0.5595703, 0.4399414, 0.0003912449	-0.7084961, 0.3459473, 0.6142578	-0.09832764, 1.47168, 0.1210938	0.7636719, 0.7270508
27	1, 0, 9, 0	0.7299805, 0.2556152, 0.01374054	-0.6806641, 0.1729736, -0.7114258	-0.06976318, 1.306641, -0.03778076	0.9291992, 0.9111328
28	1, 0, 9, 0	0.5605469, 0.4360352, 0.003330231	-0.01371002, 0.3840332, -0.9228516	-8.094311E-05, 1.254883, -0.0723877	0.9926758, 0.953125
29	1, 9, 10, 0	0.7905273, 0.2091064, 0	-0.5678711, 0.4736328, -0.6728516	-0.1019897, 1.223633, -0.06365967	0.9160156, 0.9916992
30	0, 2, 1, 0	0.5595703, 0.4399414, 2.801418E-06	-0.06970215, 0.8417969, 0.5341797	-0.06161499, 1.492188, 0.1228638	0.7363281, 0.7089844
31	1, 11, 9, 0	0.7441406, 0.1967773, 0.05899048	-0.007904053, 0.5058594, -0.8623047	-8.094311E-05, 1.200195, -0.1029663	0.3183594, 0.559082
32	11, 1, 9, 0	0.7583008, 0.1544189, 0.08673096	0.008766174, 0.3850098, -0.9223633	-8.094311E-05, 1.134766, -0.1434326	0.2719727, 0.5498047
